ts,method,path,status_code,success,response_time_ms,ttft_ms,prompt_tokens,completion_tokens,cache_hit,response_cache_hit,retrieval_cache_hit,embedding_cache_hit,tool_cache_hit
2026-04-16T07:47:48.471060+00:00,POST,/agent/trace,200,1,1078.7630,,0,0,0,0,0,0,0
2026-04-16T07:47:48.477023+00:00,GET,/agent/trace/trace999,200,1,2.8256,,0,0,0,0,0,0,0
2026-04-16T07:47:48.481469+00:00,GET,/agent/trace/trace999/view,200,1,1.5925,,0,0,0,0,0,0,0
2026-04-16T07:47:53.134653+00:00,POST,/chat,500,0,5739.3771,,0,0,0,0,0,0,0
2026-04-16T07:47:54.703482+00:00,POST,/chat/stream,200,1,1267.9825,,0,0,0,0,0,0,0
2026-04-16T07:47:56.130976+00:00,POST,/rag/query,200,1,1.9395,,1,1,0,0,0,0,0
2026-04-16T07:47:56.134165+00:00,POST,/rag/query,429,1,0.8494,,0,0,0,0,0,0,0
2026-04-16T07:47:56.138003+00:00,POST,/chat,200,1,0.8858,,1,1,0,0,0,0,0
2026-04-16T07:47:56.141505+00:00,POST,/chat,429,1,0.9429,,0,0,0,0,0,0,0
2026-04-16T07:47:56.145922+00:00,POST,/chat/stream,200,1,0.9673,0.0019,1,1,0,0,0,0,0
2026-04-16T07:48:07.262013+00:00,POST,/rag/query,200,1,4.0409,,1,1,0,0,0,0,0
2026-04-16T07:48:07.265817+00:00,POST,/rag/query,429,1,1.2220,,0,0,0,0,0,0,0
2026-04-16T07:48:07.271182+00:00,POST,/chat,200,1,2.2906,,1,1,0,0,0,0,0
2026-04-16T07:48:07.274336+00:00,POST,/chat,429,1,0.8181,,0,0,0,0,0,0,0
2026-04-16T07:48:07.281714+00:00,POST,/chat/stream,200,1,1.1745,0.0022,1,1,0,0,0,0,0
2026-04-16T07:48:38.215464+00:00,POST,/rag/query,200,1,4.4433,,1,1,0,0,0,0,0
2026-04-16T07:48:38.218934+00:00,POST,/rag/query,429,1,0.9062,,0,0,0,0,0,0,0
2026-04-16T07:48:38.224606+00:00,POST,/chat,200,1,2.3503,,1,1,0,0,0,0,0
2026-04-16T07:48:38.227590+00:00,POST,/chat,429,1,0.7752,,0,0,0,0,0,0,0
2026-04-16T07:48:38.233467+00:00,POST,/chat/stream,200,1,0.9917,0.0022,1,1,0,0,0,0,0
2026-04-16T08:23:31.691158+00:00,POST,/chat/stream,200,1,0.9945,0.0022,1,1,0,0,0,0,0
2026-04-16T08:23:32.736828+00:00,POST,/chat/stream,200,1,1.4303,0.0033,1,1,0,0,0,0,0
2026-04-16T08:23:57.658123+00:00,POST,/chat/stream,200,1,1.0066,0.0023,1,1,0,0,0,0,0
2026-04-16T08:23:58.703478+00:00,POST,/chat/stream,200,1,2.0749,0.0024,1,1,0,0,0,0,0
2026-04-16T08:24:23.572157+00:00,POST,/chat/stream,200,1,0.9910,0.0017,1,1,0,0,0,0,0
2026-04-16T08:24:24.607358+00:00,POST,/chat/stream,429,1,0.0063,,0,0,0,0,0,0,0
2026-04-16T08:24:24.614813+00:00,POST,/chat/stream,200,1,1.2766,0.0027,1,1,0,0,0,0,0
2026-04-16T08:24:24.617935+00:00,POST,/chat/stream,429,1,0.0043,,0,0,0,0,0,0,0
2026-04-16T08:24:38.320857+00:00,POST,/chat/stream,200,1,1.0166,0.0023,1,1,0,0,0,0,0
2026-04-16T08:24:39.357802+00:00,POST,/chat/stream,429,1,0.0057,,0,0,0,0,0,0,0
2026-04-16T08:24:39.365815+00:00,POST,/chat/stream,200,1,1.4930,0.0024,1,1,0,0,0,0,0
2026-04-16T08:24:39.370183+00:00,POST,/chat/stream,429,1,0.0055,,0,0,0,0,0,0,0
